id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	0	103.5	48.2	18	180	200	75	1.7	0.7310425695892223,0.7770581438851512,0.7342659656435274,1
2	spot	0	103.5	139.60000000000002	18	0	200	75	1.7	0.7310425695892223,0.7770581438851512,0.7342659656435274,1
3	spot	0	103.5	216.0	18	180	200	60	1.7	0.7310425695892223,0.7770581438851512,0.7342659656435274,1
4	spot	0	103.5	59.584210526315786	38	180	200	45	2	0.7310425695892223,0.7770581438851512,0.7342659656435274,1
6	spot	0	103.5	112.36315789473684	38	180	200	45	2	0.7310425695892223,0.7770581438851512,0.7342659656435274,1
8	spot	0	103.5	165.14210526315787	38	180	200	45	2	0.7310425695892223,0.7770581438851512,0.7342659656435274,1
10	spot	0	103.5	217.92105263157896	38	180	200	45	2	0.7310425695892223,0.7770581438851512,0.7342659656435274,1
12	spot	0	103.5	270.7	38	180	200	45	2	0.7310425695892223,0.7770581438851512,0.7342659656435274,1
14	spot	0	103.5	205.7263157894737	38	0	200	45	2	0.7310425695892223,0.7770581438851512,0.7342659656435274,1
16	spot	0	103.5	88.16842105263157	38	0	200	45	2	0.7310425695892223,0.7770581438851512,0.7342659656435274,1
