id	data	x	y	z	theta	size	parent	uniqueCode
1	Images/1002/sec0/sec0_01.jpg,Wooden_thin2	4	7.699999999999999	-93.6	0,11.09834,0	1.4	1	9
2	Images/1002/sec0/sec0_02.jpg,Wooden_thin2	4	7.699999999999999	-78.0	0,11.09834,0	1.4	1	10
3	Images/1002/sec1/sec1_01.jpg,Wooden_thin2	4	7.699999999999999	-62.39999999999999	0,11.09834,0	1.4	1	11
4	Images/1002/sec1/sec1_02.jpg,Wooden_thin2	4	7.699999999999999	-46.8	0,11.09834,0	1.4	1	12
5	Images/1002/sec2/sec2_01.jpg,Wooden_thin2	4	7.699999999999999	-31.199999999999996	0,11.09834,0	1.4	1	13
6	Images/1002/sec2/sec2_02.jpg,Wooden_thin2	4	7.699999999999999	-15.599999999999994	0,11.09834,0	1.4	1	14
7	Images/1002/sec2/sec2_03.jpg,Wooden_thin2	4	7.699999999999999	0.0	0,11.09834,0	1.4	1	15
8	Images/1002/sec2/sec2_04.jpg,Wooden_thin2	4	7.699999999999999	15.600000000000009	0,11.09834,0	1.4	1	16
9	Images/1002/sec2/sec2_05.jpg,Wooden_thin2	4	7.699999999999999	31.200000000000003	0,11.09834,0	1.4	1	17
10	Images/1002/sec2/sec2_06.jpg,Wooden_thin2	4	7.699999999999999	46.80000000000001	0,11.09834,0	1.4	1	18
11	Images/1002/sec2/sec2_07.jpg,Wooden_thin2	4	7.699999999999999	62.400000000000006	0,11.09834,0	1.4	1	19
12	Images/1002/sec2/sec2_08.jpg,Wooden_thin2	4	7.699999999999999	78.0	0,11.09834,0	1.4	1	20
13	Images/1002/sec2/sec2_09.jpg,Wooden_thin2	4	7.699999999999999	93.6	0,11.09834,0	1.4	1	21
14	Images/1002/sec2/sec2_10.jpg,Wooden_thin2	4	7.699999999999999	-93.6	0,11.09834,0	1.4	2	22
15	Images/1002/sec2/sec2_11.jpg,Wooden_thin2	4	7.699999999999999	-78.0	0,11.09834,0	1.4	2	23
16	Images/1002/sec2/sec2_12.jpg,Wooden_thin2	4	7.699999999999999	-62.39999999999999	0,11.09834,0	1.4	2	24
17	Images/1002/sec2/sec2_13.jpg,Wooden_thin2	4	7.699999999999999	-46.8	0,11.09834,0	1.4	2	25
18	Images/1002/sec2/sec2_14.jpg,Wooden_thin2	4	7.699999999999999	-31.199999999999996	0,11.09834,0	1.4	2	26
19	Images/1002/sec2/sec2_15.jpg,Wooden_thin2	4	7.699999999999999	-15.599999999999994	0,11.09834,0	1.4	2	27
20	Images/1002/sec2/sec2_16.jpg,Wooden_thin2	4	7.699999999999999	0.0	0,11.09834,0	1.4	2	28
21	Images/1002/sec2/sec2_17.jpg,Wooden_thin2	4	7.699999999999999	15.600000000000009	0,11.09834,0	1.4	2	29
22	Images/1002/sec2/sec2_18.jpg,Wooden_thin2	4	7.699999999999999	31.200000000000003	0,11.09834,0	1.4	2	30
23	Images/1002/sec3/sec3_01.jpg,Wooden_thin2	4	7.699999999999999	46.80000000000001	0,11.09834,0	1.4	2	31
24	Images/1002/sec3/sec3_02.jpg,Wooden_thin2	4	7.699999999999999	62.400000000000006	0,11.09834,0	1.4	2	32
25	Images/1002/sec3/sec3_03.jpg,Wooden_thin2	4	7.699999999999999	78.0	0,11.09834,0	1.4	2	33
26	Images/1002/sec3/sec3_04.jpg,Wooden_thin2	4	7.699999999999999	93.6	0,11.09834,0	1.4	2	34
27	Images/1002/sec3/sec3_05.jpg,Wooden_thin2	4	7.699999999999999	-93.6	0,11.09834,0	1.4	3	35
28	Images/1002/sec4/sec4_01.jpg,Wooden_thin2	4	7.699999999999999	-78.0	0,11.09834,0	1.4	3	36
29	Images/1002/sec4/sec4_02.jpg,Wooden_thin2	4	7.699999999999999	-62.39999999999999	0,11.09834,0	1.4	3	37
30	Images/1002/sec4/sec4_03.jpg,Wooden_thin2	4	7.699999999999999	-46.8	0,11.09834,0	1.4	3	38
31	Images/1002/sec5/sec5_01.jpg,Wooden_thin2	4	7.699999999999999	-31.199999999999996	0,11.09834,0	1.4	3	39
32	Images/1002/sec6/sec6_01.jpg,Wooden_thin2	4	7.699999999999999	-15.599999999999994	0,11.09834,0	1.4	3	40
33	Images/1002/sec6/sec6_02.jpg,Wooden_thin2	4	7.699999999999999	0.0	0,11.09834,0	1.4	3	41
34	Images/1002/sec6/sec6_03.jpg,Wooden_thin2	4	7.699999999999999	15.600000000000009	0,11.09834,0	1.4	3	42
35	Images/1002/sec7/sec7_01.jpg,Wooden_thin2	4	7.699999999999999	31.200000000000003	0,11.09834,0	1.4	3	43
36	Images/1002/sec7/sec7_02.jpg,Wooden_thin2	4	7.699999999999999	46.80000000000001	0,11.09834,0	1.4	3	44
37	Images/1002/sec8/sec8_01.jpg,Wooden_thin2	4	7.699999999999999	62.400000000000006	0,11.09834,0	1.4	3	45
