ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/1273918/title_panel.png	-25.0,28.656,12	0,0,1	0,1,0	-1,0,0	0	-2.600999	0.2	1.4	none(caption)	4:3	22
1	./Images/1273918/title_panel.png	-25.0,28.656,12	0,0,1	0,1,0	-1,0,0	0	-2.600999	0.2	1.4	none(caption)	4:3	22
1	./Images/1273918/word_cloud.png	0,38,192.17723684210526	1,0,0	0,1,0	0,0,1	0	5	0.2	4	Wooden_thin2	-1:-1	23
2	./Images/1273918/Vasylkivsky_Serhiy.png	-48.75,38,97.6842105263158	0,0,1	0,1,0	-1,0,0	-50.12280701754386	0	0.2	1.3567251461988308	Wooden_thin	-1:-1	3
3	./Images/1273918/caption/caption0.png	-48.75,38,97.6842105263158	0,0,1	0,1,0	-1,0,0	-40.33918128654971	-10	0.3	0.5	none(caption)	-1:-1	4
4	./Images/1273918/Sergiy Vasylkivskiy- Chumac. shliakh.jpg	-48.75,38,97.6842105263158	0,0,1	0,1,0	-1,0,0	5.0	0	0.2	1.3567251461988308	Wooden_thin	-1:-1	5
5	./Images/1273918/caption/caption1.png	-48.75,38,97.6842105263158	0,0,1	0,1,0	-1,0,0	14.783625730994153	-10	0.3	0.5	none(caption)	-1:-1	6
6	./Images/1273918/Sergiy Vasylkivskiy- Peizazh.jpg	-48.75,38,97.6842105263158	0,0,1	0,1,0	-1,0,0	60.12280701754388	0	0.2	1.3567251461988308	Wooden_thin	-1:-1	7
7	./Images/1273918/caption/caption2.png	-48.75,38,97.6842105263158	0,0,1	0,1,0	-1,0,0	69.90643274853804	-10	0.3	0.5	none(caption)	-1:-1	8
8	./Images/1273918/Sergiy Vasylkivskiy- Dvir.jpg	48.75,38,97.6842105263158	0,0,-1	0,1,0	1,0,0	65.12280701754386	0	0.2	3	Wooden_thin	-1:-1	9
9	./Images/1273918/caption/caption3.png	48.75,38,97.6842105263158	0,0,-1	0,1,0	1,0,0	83.12280701754386	-10	0.3	0.5	none(caption)	-1:-1	10
10	./Images/1273918/Sergiy Vasylkivskiy- Vesnianyi den.jpg	48.75,38,97.6842105263158	0,0,-1	0,1,0	1,0,0	0.0	0	0.2	3	Wooden_thin	-1:-1	11
11	./Images/1273918/caption/caption4.png	48.75,38,97.6842105263158	0,0,-1	0,1,0	1,0,0	18.0	-10	0.3	0.5	none(caption)	-1:-1	12
12	./Images/1273918/Sergiy Vasylkivskiy- Poltavshchyna.jpg	48.75,38,97.6842105263158	0,0,-1	0,1,0	1,0,0	-65.12280701754388	0	0.2	3	Wooden_thin	-1:-1	13
13	./Images/1273918/caption/caption5.png	48.75,38,97.6842105263158	0,0,-1	0,1,0	1,0,0	-47.12280701754388	-10	0.3	0.5	none(caption)	-1:-1	14
