id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	30.0	103.5	36.5	0	0	200	60	1.7	0.9345519940911899,0.8591480467563066,0.8529197900788412,1
2	spot	79.67894736842106	103.5	94.0	0	0	200	90	1.7	0.9345519940911899,0.8591480467563066,0.8529197900788412,1
3	spot	30.0	103.5	151.5	0	0	200	75	1.7	0.9345519940911899,0.8591480467563066,0.8529197900788412,1
3	spot	-45.58947368421053	103.5	170.7631578947368	40	270	200	30	2.0	0.9345519940911899,0.8591480467563066,0.8529197900788412,1
4	spot	55.58947368421053	103.5	170.7631578947368	40	270	200	30	2.0	0.9345519940911899,0.8591480467563066,0.8529197900788412,1
5	spot	56.17894736842106	103.5	174.678947368421	40	0	200	30	2.0	0.9345519940911899,0.8591480467563066,0.8529197900788412,1
6	spot	56.17894736842106	103.5	59.00526315789473	40	0	200	30	2.0	0.9345519940911899,0.8591480467563066,0.8529197900788412,1
7	spot	0	103.5	115.67368421052629	60	180	200	40	3.6	0.9345519940911899,0.8591480467563066,0.8529197900788412,1
