id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	-197.60526315789474	103.5	192.4	0	0	200	90	1.7	0.827230351443011,0.8934208648986958,0.9181079416448775,1
2	spot	0	103.5	369.9	0	0	200	90	1.7	0.827230351443011,0.8934208648986958,0.9181079416448775,1
3	spot	161.75263157894736	103.5	203.2	0	0	200	90	1.7	0.827230351443011,0.8934208648986958,0.9181079416448775,1
3	spot	-154.93947368421053	103.5	397.78421052631575	40	270	200	25	2.0	0.827230351443011,0.8934208648986958,0.9181079416448775,1
4	spot	-48.31315789473683	103.5	397.78421052631575	40	270	200	25	2.0	0.827230351443011,0.8934208648986958,0.9181079416448775,1
5	spot	58.31315789473686	103.5	397.78421052631575	40	270	200	25	2.0	0.827230351443011,0.8934208648986958,0.9181079416448775,1
6	spot	168.25263157894736	103.5	440.0349315789473	40	0	200	25	2.0	0.827230351443011,0.8934208648986958,0.9181079416448775,1
7	spot	168.25263157894736	103.5	356.7367484210526	40	0	200	25	2.0	0.827230351443011,0.8934208648986958,0.9181079416448775,1
8	spot	168.25263157894736	103.5	273.43856526315784	40	0	200	25	2.0	0.827230351443011,0.8934208648986958,0.9181079416448775,1
9	spot	168.25263157894736	103.5	190.14038210526314	40	0	200	25	2.0	0.827230351443011,0.8934208648986958,0.9181079416448775,1
10	spot	168.25263157894736	103.5	106.84219894736839	40	0	200	25	2.0	0.827230351443011,0.8934208648986958,0.9181079416448775,1
11	spot	168.25263157894736	103.5	23.544015789473633	40	0	200	25	2.0	0.827230351443011,0.8934208648986958,0.9181079416448775,1
12	spot	-84.12631578947368	103.5	227.1768631578947	60	180	200	40	3.6	0.827230351443011,0.8934208648986958,0.9181079416448775,1
