id	data	x	y	z	theta	size	parent	uniqueCode
1	Images/411/sec0/sec0_01.jpg,Wooden_thin2	4	7.699999999999999	-202.8	0,11.09834,0	1.4	1	10
2	Images/411/sec1/sec1_01.jpg,Wooden_thin2	4	7.699999999999999	-187.20000000000002	0,11.09834,0	1.4	1	11
3	Images/411/sec1/sec1_02.jpg,Wooden_thin2	4	7.699999999999999	-171.60000000000002	0,11.09834,0	1.4	1	12
4	Images/411/sec2/sec2_01.jpg,Wooden_thin2	4	7.699999999999999	-156.0	0,11.09834,0	1.4	1	13
5	Images/411/sec2/sec2_02.jpg,Wooden_thin2	4	7.699999999999999	-140.4	0,11.09834,0	1.4	1	14
6	Images/411/sec2/sec2_03.jpg,Wooden_thin2	4	7.699999999999999	-124.80000000000001	0,11.09834,0	1.4	1	15
7	Images/411/sec2/sec2_04.jpg,Wooden_thin2	4	7.699999999999999	-109.20000000000002	0,11.09834,0	1.4	1	16
8	Images/411/sec2/sec2_05.jpg,Wooden_thin2	4	7.699999999999999	-93.60000000000001	0,11.09834,0	1.4	1	17
9	Images/411/sec2/sec2_06.jpg,Wooden_thin2	4	7.699999999999999	-78.00000000000001	0,11.09834,0	1.4	1	18
10	Images/411/sec2/sec2_07.jpg,Wooden_thin2	4	7.699999999999999	-62.400000000000006	0,11.09834,0	1.4	1	19
11	Images/411/sec2/sec2_08.jpg,Wooden_thin2	4	7.699999999999999	-46.80000000000001	0,11.09834,0	1.4	1	20
12	Images/411/sec2/sec2_09.jpg,Wooden_thin2	4	7.699999999999999	-31.200000000000017	0,11.09834,0	1.4	1	21
13	Images/411/sec2/sec2_10.jpg,Wooden_thin2	4	7.699999999999999	-15.600000000000023	0,11.09834,0	1.4	1	22
14	Images/411/sec2/sec2_11.jpg,Wooden_thin2	4	7.699999999999999	-2.842170943040401e-14	0,11.09834,0	1.4	1	23
15	Images/411/sec2/sec2_12.jpg,Wooden_thin2	4	7.699999999999999	15.599999999999994	0,11.09834,0	1.4	1	24
16	Images/411/sec2/sec2_13.jpg,Wooden_thin2	4	7.699999999999999	31.19999999999999	0,11.09834,0	1.4	1	25
17	Images/411/sec3/sec3_01.jpg,Wooden_thin2	4	7.699999999999999	46.79999999999998	0,11.09834,0	1.4	1	26
18	Images/411/sec3/sec3_02.jpg,Wooden_thin2	4	7.699999999999999	62.39999999999998	0,11.09834,0	1.4	1	27
19	Images/411/sec3/sec3_03.jpg,Wooden_thin2	4	7.699999999999999	78.0	0,11.09834,0	1.4	1	28
20	Images/411/sec3/sec3_04.jpg,Wooden_thin2	4	7.699999999999999	93.59999999999997	0,11.09834,0	1.4	1	29
21	Images/411/sec3/sec3_05.jpg,Wooden_thin2	4	7.699999999999999	109.19999999999999	0,11.09834,0	1.4	1	30
22	Images/411/sec3/sec3_06.jpg,Wooden_thin2	4	7.699999999999999	124.79999999999995	0,11.09834,0	1.4	1	31
23	Images/411/sec3/sec3_07.jpg,Wooden_thin2	4	7.699999999999999	140.39999999999998	0,11.09834,0	1.4	1	32
24	Images/411/sec3/sec3_08.jpg,Wooden_thin2	4	7.699999999999999	156.0	0,11.09834,0	1.4	1	33
