id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	-230.4473684210526	103.5	223.6	0	0	200	90	1.7	0.9512181103770732,0.8089949313367263,0.9229849212412615,1
2	spot	0	103.5	416.7	0	0	200	90	1.7	0.9512181103770732,0.8089949313367263,0.9229849212412615,1
3	spot	193.7736842105263	103.5	226.6	0	0	200	90	1.7	0.9512181103770732,0.8089949313367263,0.9229849212412615,1
3	spot	-158.5157894736842	103.5	446.43157894736834	40	270	200	25	2.0	0.9512181103770732,0.8089949313367263,0.9229849212412615,1
4	spot	5.0	103.5	446.43157894736834	40	270	200	25	2.0	0.9512181103770732,0.8089949313367263,0.9229849212412615,1
5	spot	200.2736842105263	103.5	463.75862842105255	40	0	200	25	2.0	0.9512181103770732,0.8089949313367263,0.9229849212412615,1
6	spot	200.2736842105263	103.5	325.53357789473677	40	0	200	25	2.0	0.9512181103770732,0.8089949313367263,0.9229849212412615,1
7	spot	200.2736842105263	103.5	187.30852736842098	40	0	200	25	2.0	0.9512181103770732,0.8089949313367263,0.9229849212412615,1
8	spot	200.2736842105263	103.5	49.083476842105256	40	0	200	25	2.0	0.9512181103770732,0.8089949313367263,0.9229849212412615,1
9	spot	-100.13684210526316	103.5	251.31827368421045	60	180	200	40	3.6	0.9512181103770732,0.8089949313367263,0.9229849212412615,1
