id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	-66.23684210526315	103.5	67.6	0	0	200	45	1.7	0.9410015916990688,0.9769399028573948,0.9764374086433023,1
2	spot	0	103.5	120.3	0	0	200	60	1.7	0.9410015916990688,0.9769399028573948,0.9764374086433023,1
3	spot	33.66842105263157	103.5	78.4	0	0	200	30	1.7	0.9410015916990688,0.9769399028573948,0.9764374086433023,1
3	spot	-63.134736842105255	103.5	138.3315789473684	40	270	200	25	2.0	0.9410015916990688,0.9769399028573948,0.9764374086433023,1
4	spot	-29.067368421052635	103.5	138.3315789473684	40	270	200	25	2.0	0.9410015916990688,0.9769399028573948,0.9764374086433023,1
5	spot	5.0	103.5	138.3315789473684	40	270	200	25	2.0	0.9410015916990688,0.9769399028573948,0.9764374086433023,1
6	spot	39.06736842105262	103.5	138.3315789473684	40	270	200	25	2.0	0.9410015916990688,0.9769399028573948,0.9764374086433023,1
7	spot	40.16842105263157	103.5	100.42105263157893	40	0	200	25	2.0	0.9410015916990688,0.9769399028573948,0.9764374086433023,1
8	spot	-20.084210526315786	103.5	98.42267368421051	60	180	200	40	3.6	0.9410015916990688,0.9769399028573948,0.9764374086433023,1
