id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	-156.55263157894734	103.5	153.4	0	0	200	90	1.7	0.9837728711290176,0.8569869970270483,0.7947276232870814,1
2	spot	0	103.5	229.5	0	0	200	90	1.7	0.9837728711290176,0.8569869970270483,0.7947276232870814,1
3	spot	121.72631578947366	103.5	133.0	0	0	200	90	1.7	0.9837728711290176,0.8569869970270483,0.7947276232870814,1
3	spot	-133.58105263157893	103.5	251.84210526315786	40	270	200	25	2.0	0.9837728711290176,0.8569869970270483,0.7947276232870814,1
4	spot	-64.29052631578946	103.5	251.84210526315786	40	270	200	25	2.0	0.9837728711290176,0.8569869970270483,0.7947276232870814,1
5	spot	5.0	103.5	251.84210526315786	40	270	200	25	2.0	0.9837728711290176,0.8569869970270483,0.7947276232870814,1
6	spot	74.29052631578946	103.5	251.84210526315786	40	270	200	25	2.0	0.9837728711290176,0.8569869970270483,0.7947276232870814,1
7	spot	128.22631578947366	103.5	243.00868421052633	40	0	200	25	2.0	0.9837728711290176,0.8569869970270483,0.7947276232870814,1
8	spot	128.22631578947366	103.5	72.7807894736842	40	0	200	25	2.0	0.9837728711290176,0.8569869970270483,0.7947276232870814,1
9	spot	-64.11315789473683	103.5	154.7526315789474	60	180	200	40	3.6	0.9837728711290176,0.8569869970270483,0.7947276232870814,1
