id	data	x	y	z	theta	size	parent	uniqueCode
1	Images/31/sec0/sec0_01.jpg,Wooden_thin2	4	7.699999999999999	-171.6	0,11.09834,0	1.4	1	15
2	Images/31/sec1/sec1_01.jpg,Wooden_thin2	4	7.699999999999999	-156.0	0,11.09834,0	1.4	1	16
3	Images/31/sec1/sec1_02.jpg,Wooden_thin2	4	7.699999999999999	-140.4	0,11.09834,0	1.4	1	17
4	Images/31/sec1/sec1_03.jpg,Wooden_thin2	4	7.699999999999999	-124.8	0,11.09834,0	1.4	1	18
5	Images/31/sec2/sec2_01.jpg,Wooden_thin2	4	7.699999999999999	-109.19999999999999	0,11.09834,0	1.4	1	19
6	Images/31/sec2/sec2_02.jpg,Wooden_thin2	4	7.699999999999999	-93.6	0,11.09834,0	1.4	1	20
7	Images/31/sec2/sec2_03.jpg,Wooden_thin2	4	7.699999999999999	-78.0	0,11.09834,0	1.4	1	21
8	Images/31/sec2/sec2_04.jpg,Wooden_thin2	4	7.699999999999999	-62.39999999999999	0,11.09834,0	1.4	1	22
9	Images/31/sec2/sec2_05.jpg,Wooden_thin2	4	7.699999999999999	-46.8	0,11.09834,0	1.4	1	23
10	Images/31/sec2/sec2_06.jpg,Wooden_thin2	4	7.699999999999999	-31.19999999999999	0,11.09834,0	1.4	1	24
11	Images/31/sec2/sec2_07.jpg,Wooden_thin2	4	7.699999999999999	-15.599999999999994	0,11.09834,0	1.4	1	25
12	Images/31/sec2/sec2_08.jpg,Wooden_thin2	4	7.699999999999999	0.0	0,11.09834,0	1.4	1	26
13	Images/31/sec2/sec2_09.jpg,Wooden_thin2	4	7.699999999999999	15.599999999999994	0,11.09834,0	1.4	1	27
14	Images/31/sec2/sec2_10.jpg,Wooden_thin2	4	7.699999999999999	31.19999999999999	0,11.09834,0	1.4	1	28
15	Images/31/sec2/sec2_11.jpg,Wooden_thin2	4	7.699999999999999	46.80000000000001	0,11.09834,0	1.4	1	29
16	Images/31/sec2/sec2_12.jpg,Wooden_thin2	4	7.699999999999999	62.400000000000006	0,11.09834,0	1.4	1	30
17	Images/31/sec2/sec2_13.jpg,Wooden_thin2	4	7.699999999999999	78.0	0,11.09834,0	1.4	1	31
18	Images/31/sec2/sec2_14.jpg,Wooden_thin2	4	7.699999999999999	93.6	0,11.09834,0	1.4	1	32
19	Images/31/sec2/sec2_15.jpg,Wooden_thin2	4	7.699999999999999	109.20000000000002	0,11.09834,0	1.4	1	33
20	Images/31/sec3/sec3_01.jpg,Wooden_thin2	4	7.699999999999999	124.79999999999998	0,11.09834,0	1.4	1	34
21	Images/31/sec3/sec3_02.jpg,Wooden_thin2	4	7.699999999999999	140.4	0,11.09834,0	1.4	1	35
22	Images/31/sec3/sec3_03.jpg,Wooden_thin2	4	7.699999999999999	155.99999999999997	0,11.09834,0	1.4	1	36
23	Images/31/sec3/sec3_04.jpg,Wooden_thin2	4	7.699999999999999	171.6	0,11.09834,0	1.4	1	37
24	Images/31/sec3/sec3_05.jpg,Wooden_thin2	4	7.699999999999999	-179.4	0,11.09834,0	1.4	2	38
25	Images/31/sec3/sec3_06.jpg,Wooden_thin2	4	7.699999999999999	-163.8	0,11.09834,0	1.4	2	39
26	Images/31/sec3/sec3_07.jpg,Wooden_thin2	4	7.699999999999999	-148.20000000000002	0,11.09834,0	1.4	2	40
27	Images/31/sec3/sec3_08.jpg,Wooden_thin2	4	7.699999999999999	-132.60000000000002	0,11.09834,0	1.4	2	41
28	Images/31/sec3/sec3_09.jpg,Wooden_thin2	4	7.699999999999999	-117.0	0,11.09834,0	1.4	2	42
29	Images/31/sec3/sec3_10.jpg,Wooden_thin2	4	7.699999999999999	-101.4	0,11.09834,0	1.4	2	43
30	Images/31/sec4/sec4_01.jpg,Wooden_thin2	4	7.699999999999999	-85.80000000000001	0,11.09834,0	1.4	2	44
31	Images/31/sec4/sec4_02.jpg,Wooden_thin2	4	7.699999999999999	-70.2	0,11.09834,0	1.4	2	45
32	Images/31/sec4/sec4_03.jpg,Wooden_thin2	4	7.699999999999999	-54.60000000000001	0,11.09834,0	1.4	2	46
33	Images/31/sec4/sec4_04.jpg,Wooden_thin2	4	7.699999999999999	-39.0	0,11.09834,0	1.4	2	47
34	Images/31/sec4/sec4_05.jpg,Wooden_thin2	4	7.699999999999999	-23.400000000000006	0,11.09834,0	1.4	2	48
35	Images/31/sec4/sec4_06.jpg,Wooden_thin2	4	7.699999999999999	-7.800000000000011	0,11.09834,0	1.4	2	49
36	Images/31/sec4/sec4_07.jpg,Wooden_thin2	4	7.699999999999999	7.799999999999983	0,11.09834,0	1.4	2	50
37	Images/31/sec5/sec5_01.jpg,Wooden_thin2	4	7.699999999999999	23.399999999999977	0,11.09834,0	1.4	2	51
38	Images/31/sec5/sec5_02.jpg,Wooden_thin2	4	7.699999999999999	39.0	0,11.09834,0	1.4	2	52
39	Images/31/sec5/sec5_03.jpg,Wooden_thin2	4	7.699999999999999	54.599999999999994	0,11.09834,0	1.4	2	53
40	Images/31/sec5/sec5_04.jpg,Wooden_thin2	4	7.699999999999999	70.19999999999999	0,11.09834,0	1.4	2	54
41	Images/31/sec5/sec5_05.jpg,Wooden_thin2	4	7.699999999999999	85.79999999999998	0,11.09834,0	1.4	2	55
42	Images/31/sec6/sec6_01.jpg,Wooden_thin2	4	7.699999999999999	101.4	0,11.09834,0	1.4	2	56
43	Images/31/sec6/sec6_02.jpg,Wooden_thin2	4	7.699999999999999	116.99999999999997	0,11.09834,0	1.4	2	57
44	Images/31/sec7/sec7_01.jpg,Wooden_thin2	4	7.699999999999999	132.6	0,11.09834,0	1.4	2	58
45	Images/31/sec7/sec7_02.jpg,Wooden_thin2	4	7.699999999999999	148.19999999999996	0,11.09834,0	1.4	2	59
46	Images/31/sec7/sec7_03.jpg,Wooden_thin2	4	7.699999999999999	163.79999999999998	0,11.09834,0	1.4	2	60
47	Images/31/sec7/sec7_04.jpg,Wooden_thin2	4	7.699999999999999	179.4	0,11.09834,0	1.4	2	61
