ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/57632/title_panel.png	-4.526315789473685,28.656,31.5	1,0,0	0,1,0	0,0,1	0	-2.600999	0.2	1.4	none(caption)	4:3	22
1	./Images/57632/title_panel.png	-4.526315789473685,28.656,31.5	1,0,0	0,1,0	0,0,1	0	-2.600999	0.2	1.4	none(caption)	4:3	22
1	./Images/57632/word_cloud.png	-92.16315789473684,38,99.41684210526314	0,0,1	0,1,0	-1,0,0	0	5	0.2	4	Wooden_thin2	-1:-1	23
2	./Images/57632/JR Tsugaru-Line Mimmaya Station building.jpg	0,38,198.3315789473684	1,0,0	0,1,0	0,0,1	-59.30263157894737	-10	0.2	1.2874493927125505	Wooden_thin	-1:-1	3
3	./Images/57632/caption/caption0.png	0,38,198.3315789473684	1,0,0	0,1,0	0,0,1	-49.86538461538461	-20	0.2	0.5	none(caption)	-1:-1	4
4	./Images/57632/Minmaya-Station-2010822.jpg	0,38,198.3315789473684	1,0,0	0,1,0	0,0,1	-33.58157894736842	-10	0.2	1.2874493927125505	Wooden_thin	-1:-1	5
5	./Images/57632/caption/caption1.png	0,38,198.3315789473684	1,0,0	0,1,0	0,0,1	-24.144331983805667	-20	0.2	0.5	none(caption)	-1:-1	6
6	./Images/57632/JR Tsugaru-Line Mimmaya Station Waiting room.jpg	0,38,198.3315789473684	1,0,0	0,1,0	0,0,1	-7.860526315789471	-10	0.2	1.2874493927125505	Wooden_thin	-1:-1	7
7	./Images/57632/caption/caption2.png	0,38,198.3315789473684	1,0,0	0,1,0	0,0,1	1.576720647773282	-20	0.2	0.5	none(caption)	-1:-1	8
8	./Images/57632/JR Tsugaru-Line Mimmaya Station Platform.jpg	0,38,198.3315789473684	1,0,0	0,1,0	0,0,1	17.86052631578947	-10	0.2	1.2874493927125505	Wooden_thin	-1:-1	9
9	./Images/57632/caption/caption3.png	0,38,198.3315789473684	1,0,0	0,1,0	0,0,1	27.297773279352224	-20	0.2	0.5	none(caption)	-1:-1	10
10	./Images/57632/JR Tsugaru-Line Mimmaya Station Premises railroad crossing.jpg	0,38,198.3315789473684	1,0,0	0,1,0	0,0,1	43.58157894736841	-10	0.2	1.2874493927125505	Wooden_thin	-1:-1	11
11	./Images/57632/caption/caption4.png	0,38,198.3315789473684	1,0,0	0,1,0	0,0,1	53.01882591093117	-20	0.2	0.5	none(caption)	-1:-1	12
12	./Images/57632/Minmaya-Station-Rail-end.jpg	0,38,198.3315789473684	1,0,0	0,1,0	0,0,1	69.30263157894736	-10	0.2	1.2874493927125505	Wooden_thin	-1:-1	13
13	./Images/57632/caption/caption5.png	0,38,198.3315789473684	1,0,0	0,1,0	0,0,1	78.73987854251011	-20	0.2	0.5	none(caption)	-1:-1	14
14	Images/57632/table/fixed_利用状況.png	92.16315789473684,38,100.42105263157893	0,0,-1	0,1,0	1,0,0	0.0	-10	0.2	2.8625	Wooden_thin	-1:-1	15
