id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	0	103.5	32.0	18	180	200	15	2.0	0.7248159386779014,0.9894344092049209,0.8125913863331662,1
2	spot	0	103.5	69.4	18	0	200	60	2.0	0.7248159386779014,0.9894344092049209,0.8125913863331662,1
3	spot	0	103.5	106.8	18	180	200	15	2.0	0.7248159386779014,0.9894344092049209,0.8125913863331662,1
3	spot	0	103.5	34.51315789473684	38	180	200	30	2	0.7248159386779014,0.9894344092049209,0.8125913863331662,1
4	spot	0	103.5	63.53947368421053	38	180	200	30	2	0.7248159386779014,0.9894344092049209,0.8125913863331662,1
5	spot	0	103.5	92.56578947368422	38	180	200	30	2	0.7248159386779014,0.9894344092049209,0.8125913863331662,1
6	spot	0	103.5	121.59210526315789	38	180	200	30	2	0.7248159386779014,0.9894344092049209,0.8125913863331662,1
7	spot	0	103.5	121.75438596491229	38	0	200	30	2	0.7248159386779014,0.9894344092049209,0.8125913863331662,1
8	spot	0	103.5	73.05263157894737	38	0	200	30	2	0.7248159386779014,0.9894344092049209,0.8125913863331662,1
9	spot	0	103.5	24.350877192982466	38	0	200	30	2	0.7248159386779014,0.9894344092049209,0.8125913863331662,1
