id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	-115.5	103.5	114.4	0	0	200	90	1.7	0.7605966640507679,0.7841947876281476,0.7880823448810499,1
2	spot	0	103.5	229.5	0	0	200	90	1.7	0.7605966640507679,0.7841947876281476,0.7880823448810499,1
3	spot	81.69999999999999	103.5	133.0	0	0	200	90	1.7	0.7605966640507679,0.7841947876281476,0.7880823448810499,1
4	spot	-83.79999999999998	103.5	251.84210526315786	40	270	200	45	2.0	0.7605966640507679,0.7841947876281476,0.7880823448810499,1
6	spot	-24.599999999999994	103.5	251.84210526315786	40	270	200	45	2.0	0.7605966640507679,0.7841947876281476,0.7880823448810499,1
8	spot	34.60000000000002	103.5	251.84210526315786	40	270	200	45	2.0	0.7605966640507679,0.7841947876281476,0.7880823448810499,1
10	spot	93.80000000000001	103.5	251.84210526315786	40	270	200	45	2.0	0.7605966640507679,0.7841947876281476,0.7880823448810499,1
12	spot	88.19999999999999	103.5	243.00868421052633	40	0	200	45	2.0	0.7605966640507679,0.7841947876281476,0.7880823448810499,1
14	spot	88.19999999999999	103.5	129.5234210526316	40	0	200	45	2.0	0.7605966640507679,0.7841947876281476,0.7880823448810499,1
16	spot	88.19999999999999	103.5	16.0381578947368	40	0	200	45	2.0	0.7605966640507679,0.7841947876281476,0.7880823448810499,1
17	spot	-44.099999999999994	103.5	154.7526315789474	60	180	200	40	3.6	0.7605966640507679,0.7841947876281476,0.7880823448810499,1
