id	data	x	y	z	theta	size	parent	uniqueCode
1	Images/1288420/sec0/sec0_01.jpg,Wooden_thin2	4	7.699999999999999	-23.4	0,11.09834,0	1.4	1	23
2	Images/1288420/sec1/sec1_01.jpg,Wooden_thin2	4	7.699999999999999	-7.799999999999999	0,11.09834,0	1.4	1	24
3	Images/1288420/sec1/sec1_02.jpg,Wooden_thin2	4	7.699999999999999	7.800000000000001	0,11.09834,0	1.4	1	25
4	Images/1288420/sec1/sec1_03.jpg,Wooden_thin2	4	7.699999999999999	23.4	0,11.09834,0	1.4	1	26
5	Images/1288420/sec1/sec1_04.jpg,Wooden_thin2	4	7.699999999999999	-31.200000000000003	0,11.09834,0	1.4	2	27
6	Images/1288420/sec1/sec1_05.jpg,Wooden_thin2	4	7.699999999999999	-15.600000000000003	0,11.09834,0	1.4	2	28
7	Images/1288420/sec1/sec1_06.jpg,Wooden_thin2	4	7.699999999999999	-3.552713678800501e-15	0,11.09834,0	1.4	2	29
8	Images/1288420/sec1/sec1_07.jpg,Wooden_thin2	4	7.699999999999999	15.599999999999994	0,11.09834,0	1.4	2	30
9	Images/1288420/sec1/sec1_08.jpg,Wooden_thin2	4	7.699999999999999	31.199999999999996	0,11.09834,0	1.4	2	31
10	Images/1288420/sec2/sec2_01.jpg,Wooden_thin2	4	7.699999999999999	-23.4	0,11.09834,0	1.4	3	32
11	Images/1288420/sec2/sec2_02.jpg,Wooden_thin2	4	7.699999999999999	-7.799999999999999	0,11.09834,0	1.4	3	33
12	Images/1288420/sec3/sec3_01.jpg,Wooden_thin2	4	7.699999999999999	7.800000000000001	0,11.09834,0	1.4	3	34
