id	data	x	y	z	theta	size	parent	uniqueCode
1	Images/75614/sec0/sec0_01.jpg,Wooden_thin2	4	7.7	-109.2	0,11.09834,0	1.4	1	11
2	Images/75614/sec1/sec1_01.jpg,Wooden_thin2	4	7.7	-93.6	0,11.09834,0	1.4	1	12
3	Images/75614/sec1/sec1_02.jpg,Wooden_thin2	4	7.7	-78	0,11.09834,0	1.4	1	13
4	Images/75614/sec2/sec2_01.jpg,Wooden_thin2	4	7.7	-62.4	0,11.09834,0	1.4	1	14
5	Images/75614/sec2/sec2_02.jpg,Wooden_thin2	4	7.7	-46.8	0,11.09834,0	1.4	1	15
6	Images/75614/sec2/sec2_03.jpg,Wooden_thin2	4	7.7	-31.2	0,11.09834,0	1.4	1	16
7	Images/75614/sec2/sec2_04.jpg,Wooden_thin2	4	7.7	-15.6	0,11.09834,0	1.4	1	17
8	Images/75614/sec2/sec2_05.jpg,Wooden_thin2	4	7.7	0	0,11.09834,0	1.4	1	18
9	Images/75614/sec2/sec2_06.jpg,Wooden_thin2	4	7.7	15.6	0,11.09834,0	1.4	1	19
10	Images/75614/sec2/sec2_07.jpg,Wooden_thin2	4	7.7	31.2	0,11.09834,0	1.4	1	20
11	Images/75614/sec2/sec2_08.jpg,Wooden_thin2	4	7.7	46.8	0,11.09834,0	1.4	1	21
12	Images/75614/sec2/sec2_09.jpg,Wooden_thin2	4	7.7	62.4	0,11.09834,0	1.4	1	22
13	Images/75614/sec2/sec2_10.jpg,Wooden_thin2	4	7.7	78	0,11.09834,0	1.4	1	23
14	Images/75614/sec3/sec3_01.jpg,Wooden_thin2	4	7.7	93.6	0,11.09834,0	1.4	1	24
15	Images/75614/sec3/sec3_02.jpg,Wooden_thin2	4	7.7	109.2	0,11.09834,0	1.4	1	25
16	Images/75614/sec4/sec4_01.jpg,Wooden_thin2	4	7.7	-62.4	0,11.09834,0	1.4	2	26
17	Images/75614/sec4/sec4_02.jpg,Wooden_thin2	4	7.7	-46.8	0,11.09834,0	1.4	2	27
18	Images/75614/sec4/sec4_03.jpg,Wooden_thin2	4	7.7	-31.2	0,11.09834,0	1.4	2	28
19	Images/75614/sec4/sec4_04.jpg,Wooden_thin2	4	7.7	-15.6	0,11.09834,0	1.4	2	29
20	Images/75614/sec5/sec5_01.jpg,Wooden_thin2	4	7.7	0	0,11.09834,0	1.4	2	30
21	Images/75614/sec6/sec6_01.jpg,Wooden_thin2	4	7.7	15.6	0,11.09834,0	1.4	2	31
22	Images/75614/sec6/sec6_02.jpg,Wooden_thin2	4	7.7	31.2	0,11.09834,0	1.4	2	32
23	Images/75614/sec7/sec7_01.jpg,Wooden_thin2	4	7.7	46.8	0,11.09834,0	1.4	2	33
24	Images/75614/sec7/sec7_02.jpg,Wooden_thin2	4	7.7	62.4	0,11.09834,0	1.4	2	34
25	Images/75614/sec7/sec7_03.jpg,Wooden_thin2	4	7.7	-109.2	0,11.09834,0	1.4	3	35
26	Images/75614/sec8/sec8_01.jpg,Wooden_thin2	4	7.7	-93.6	0,11.09834,0	1.4	3	36
27	Images/75614/sec8/sec8_02.jpg,Wooden_thin2	4	7.7	-78	0,11.09834,0	1.4	3	37
28	Images/75614/sec8/sec8_03.jpg,Wooden_thin2	4	7.7	-62.4	0,11.09834,0	1.4	3	38
29	Images/75614/sec8/sec8_04.jpg,Wooden_thin2	4	7.7	-46.8	0,11.09834,0	1.4	3	39
30	Images/75614/sec8/sec8_05.jpg,Wooden_thin2	4	7.7	-31.2	0,11.09834,0	1.4	3	40
31	Images/75614/sec8/sec8_06.jpg,Wooden_thin2	4	7.7	-15.6	0,11.09834,0	1.4	3	41
32	Images/75614/sec8/sec8_07.jpg,Wooden_thin2	4	7.7	0	0,11.09834,0	1.4	3	42
33	Images/75614/sec9/sec9_01.jpg,Wooden_thin2	4	7.7	15.6	0,11.09834,0	1.4	3	43
34	Images/75614/sec10/sec10_01.jpg,Wooden_thin2	4	7.7	31.2	0,11.09834,0	1.4	3	44
35	Images/75614/sec11/sec11_01.jpg,Wooden_thin2	4	7.7	46.8	0,11.09834,0	1.4	3	45
