id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	0	103.5	32.0	18	180	200	0	2.0	0.83780322033059,0.9235055725550072,0.7560139299998662,1
2	spot	0	103.5	53.8	18	0	200	30	2.0	0.83780322033059,0.9235055725550072,0.7560139299998662,1
3	spot	0	103.5	75.6	18	180	200	15	2.0	0.83780322033059,0.9235055725550072,0.7560139299998662,1
3	spot	0	103.5	40.815789473684205	38	180	200	30	2	0.83780322033059,0.9235055725550072,0.7560139299998662,1
4	spot	0	103.5	82.44736842105263	38	180	200	30	2	0.83780322033059,0.9235055725550072,0.7560139299998662,1
5	spot	0	103.5	94.38596491228068	38	0	200	30	2	0.83780322033059,0.9235055725550072,0.7560139299998662,1
6	spot	0	103.5	56.63157894736841	38	0	200	30	2	0.83780322033059,0.9235055725550072,0.7560139299998662,1
7	spot	0	103.5	18.877192982456123	38	0	200	30	2	0.83780322033059,0.9235055725550072,0.7560139299998662,1
