id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	-230.4473684210526	103.5	223.6	0	0	200	90	1.7	0.7428834010016526,0.7048012264810792,0.8387779409882425,1
2	spot	0	103.5	416.7	0	0	200	90	1.7	0.7428834010016526,0.7048012264810792,0.8387779409882425,1
3	spot	193.7736842105263	103.5	226.6	0	0	200	90	1.7	0.7428834010016526,0.7048012264810792,0.8387779409882425,1
3	spot	-191.21894736842106	103.5	446.43157894736834	40	270	200	25	2.0	0.7428834010016526,0.7048012264810792,0.8387779409882425,1
4	spot	-93.10947368421051	103.5	446.43157894736834	40	270	200	25	2.0	0.7428834010016526,0.7048012264810792,0.8387779409882425,1
5	spot	5.0	103.5	446.43157894736834	40	270	200	25	2.0	0.7428834010016526,0.7048012264810792,0.8387779409882425,1
6	spot	103.10947368421057	103.5	446.43157894736834	40	270	200	25	2.0	0.7428834010016526,0.7048012264810792,0.8387779409882425,1
7	spot	200.2736842105263	103.5	394.6461031578947	40	0	200	25	2.0	0.7428834010016526,0.7048012264810792,0.8387779409882425,1
8	spot	200.2736842105263	103.5	118.19600210526312	40	0	200	25	2.0	0.7428834010016526,0.7048012264810792,0.8387779409882425,1
9	spot	-100.13684210526316	103.5	251.31827368421045	60	180	200	40	3.6	0.7428834010016526,0.7048012264810792,0.8387779409882425,1
