id	data	x	y	z	theta	size	parent	uniqueCode
1	Images/24847/sec0/sec0_01.jpg,Wooden_thin2	4	7.699999999999999	-23.4	0,11.09834,0	1.4	1	8
2	Images/24847/sec1/sec1_01.jpg,Wooden_thin2	4	7.699999999999999	-7.799999999999999	0,11.09834,0	1.4	1	9
3	Images/24847/sec2/sec2_01.jpg,Wooden_thin2	4	7.699999999999999	7.800000000000001	0,11.09834,0	1.4	1	10
4	Images/24847/sec3/sec3_01.jpg,Wooden_thin2	4	7.699999999999999	23.4	0,11.09834,0	1.4	1	11
5	Images/24847/sec4/sec4_01.jpg,Wooden_thin2	4	7.699999999999999	-23.4	0,11.09834,0	1.4	2	12
6	Images/24847/sec5/sec5_01.jpg,Wooden_thin2	4	7.699999999999999	-7.799999999999999	0,11.09834,0	1.4	2	13
7	Images/24847/sec6/sec6_01.jpg,Wooden_thin2	4	7.699999999999999	7.800000000000001	0,11.09834,0	1.4	2	14
8	Images/24847/sec7/sec7_01.jpg,Wooden_thin2	4	7.699999999999999	23.4	0,11.09834,0	1.4	2	15
9	Images/24847/sec8/sec8_01.jpg,Wooden_thin2	4	7.699999999999999	-23.4	0,11.09834,0	1.4	3	16
10	Images/24847/sec9/sec9_01.jpg,Wooden_thin2	4	7.699999999999999	-7.799999999999999	0,11.09834,0	1.4	3	17
11	Images/24847/sec10/sec10_01.jpg,Wooden_thin2	4	7.699999999999999	7.800000000000001	0,11.09834,0	1.4	3	18
