id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	-66.23684210526315	103.5	67.6	0	0	200	45	1.7	0.807048665647666,0.8228692762678598,0.8032285389767501,1
2	spot	0	103.5	104.7	0	0	200	45	1.7	0.807048665647666,0.8228692762678598,0.8032285389767501,1
3	spot	33.66842105263157	103.5	70.6	0	0	200	30	1.7	0.807048665647666,0.8228692762678598,0.8032285389767501,1
3	spot	-58.87631578947368	103.5	122.11578947368417	40	270	200	25	2.0	0.807048665647666,0.8228692762678598,0.8032285389767501,1
4	spot	-16.292105263157893	103.5	122.11578947368417	40	270	200	25	2.0	0.807048665647666,0.8228692762678598,0.8032285389767501,1
5	spot	26.292105263157893	103.5	122.11578947368417	40	270	200	25	2.0	0.807048665647666,0.8228692762678598,0.8032285389767501,1
6	spot	40.16842105263157	103.5	92.21052631578945	40	0	200	25	2.0	0.807048665647666,0.8228692762678598,0.8032285389767501,1
7	spot	-20.084210526315786	103.5	90.37553684210525	60	180	200	40	3.6	0.807048665647666,0.8228692762678598,0.8032285389767501,1
