id	data	x	y	z	theta	size	parent	uniqueCode
1	Images/2501255/sec0/sec0_01.jpg,Wooden_thin2	4	7.699999999999999	-7.8000000000000025	0,11.09834,0	1.4	1	19
2	Images/2501255/sec1/sec1_01.jpg,Wooden_thin2	4	7.699999999999999	7.799999999999997	0,11.09834,0	1.4	1	20
3	Images/2501255/sec2/sec2_01.jpg,Wooden_thin2	4	7.699999999999999	-23.4	0,11.09834,0	1.4	2	21
4	Images/2501255/sec3/sec3_01.jpg,Wooden_thin2	4	7.699999999999999	-7.799999999999999	0,11.09834,0	1.4	2	22
5	Images/2501255/sec4/sec4_01.jpg,Wooden_thin2	4	7.699999999999999	7.800000000000001	0,11.09834,0	1.4	2	23
6	Images/2501255/sec5/sec5_01.jpg,Wooden_thin2	4	7.699999999999999	23.4	0,11.09834,0	1.4	2	24
7	Images/2501255/sec6/sec6_01.jpg,Wooden_thin2	4	7.699999999999999	-7.8000000000000025	0,11.09834,0	1.4	3	25
8	Images/2501255/sec7/sec7_01.jpg,Wooden_thin2	4	7.699999999999999	7.799999999999997	0,11.09834,0	1.4	3	26
