id	data	x	y	z	theta	size	parent	uniqueCode
1	Images/3706699/sec0/sec0_01.jpg,Wooden_thin2	4	7.699999999999999	-54.59999999999999	0,11.09834,0	1.4	1	8
2	Images/3706699/sec0/sec0_02.jpg,Wooden_thin2	4	7.699999999999999	-38.999999999999986	0,11.09834,0	1.4	1	9
3	Images/3706699/sec1/sec1_01.jpg,Wooden_thin2	4	7.699999999999999	-23.399999999999988	0,11.09834,0	1.4	1	10
4	Images/3706699/sec1/sec1_02.jpg,Wooden_thin2	4	7.699999999999999	-7.79999999999999	0,11.09834,0	1.4	1	11
5	Images/3706699/sec2/sec2_01.jpg,Wooden_thin2	4	7.699999999999999	7.800000000000011	0,11.09834,0	1.4	1	12
6	Images/3706699/sec2/sec2_02.jpg,Wooden_thin2	4	7.699999999999999	23.400000000000013	0,11.09834,0	1.4	1	13
7	Images/3706699/sec2/sec2_03.jpg,Wooden_thin2	4	7.699999999999999	39.00000000000001	0,11.09834,0	1.4	1	14
8	Images/3706699/sec2/sec2_04.jpg,Wooden_thin2	4	7.699999999999999	54.600000000000016	0,11.09834,0	1.4	1	15
9	Images/3706699/sec3/sec3_01.jpg,Wooden_thin2	4	7.699999999999999	46.8	0,11.09834,0	1.4	2	16
10	Images/3706699/sec3/sec3_02.jpg,Wooden_thin2	4	7.699999999999999	31.199999999999996	0,11.09834,0	1.4	2	17
11	Images/3706699/sec3/sec3_03.jpg,Wooden_thin2	4	7.699999999999999	15.599999999999998	0,11.09834,0	1.4	2	18
12	Images/3706699/sec3/sec3_04.jpg,Wooden_thin2	4	7.699999999999999	-0.0	0,11.09834,0	1.4	2	19
13	Images/3706699/sec3/sec3_05.jpg,Wooden_thin2	4	7.699999999999999	-15.600000000000001	0,11.09834,0	1.4	2	20
14	Images/3706699/sec4/sec4_01.jpg,Wooden_thin2	4	7.699999999999999	-31.200000000000003	0,11.09834,0	1.4	2	21
15	Images/3706699/sec4/sec4_02.jpg,Wooden_thin2	4	7.699999999999999	-46.8	0,11.09834,0	1.4	2	22
16	Images/3706699/sec5/sec5_01.jpg,Wooden_thin2	4	7.699999999999999	-54.59999999999999	0,11.09834,0	1.4	3	23
17	Images/3706699/sec5/sec5_02.jpg,Wooden_thin2	4	7.699999999999999	-38.999999999999986	0,11.09834,0	1.4	3	24
18	Images/3706699/sec5/sec5_03.jpg,Wooden_thin2	4	7.699999999999999	-23.399999999999988	0,11.09834,0	1.4	3	25
19	Images/3706699/sec5/sec5_04.jpg,Wooden_thin2	4	7.699999999999999	-7.79999999999999	0,11.09834,0	1.4	3	26
20	Images/3706699/sec5/sec5_05.jpg,Wooden_thin2	4	7.699999999999999	7.800000000000011	0,11.09834,0	1.4	3	27
21	Images/3706699/sec6/sec6_01.jpg,Wooden_thin2	4	7.699999999999999	23.400000000000013	0,11.09834,0	1.4	3	28
22	Images/3706699/sec6/sec6_02.jpg,Wooden_thin2	4	7.699999999999999	39.00000000000001	0,11.09834,0	1.4	3	29
23	Images/3706699/sec6/sec6_03.jpg,Wooden_thin2	4	7.699999999999999	54.600000000000016	0,11.09834,0	1.4	3	30
