id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	0	103.5	71.6	18	180	200	90	2.0	0.8736776077336473,0.972669687200288,0.8887447071053345,1
2	spot	0	103.5	194.2	18	0	200	90	2.0	0.8736776077336473,0.972669687200288,0.8887447071053345,1
3	spot	0	103.5	301.79999999999995	18	180	200	90	2.0	0.8736776077336473,0.972669687200288,0.8887447071053345,1
3	spot	0	103.5	43.67763157894737	38	180	200	30	2	0.8736776077336473,0.972669687200288,0.8887447071053345,1
4	spot	0	103.5	91.03289473684208	38	180	200	30	2	0.8736776077336473,0.972669687200288,0.8887447071053345,1
5	spot	0	103.5	138.38815789473682	38	180	200	30	2	0.8736776077336473,0.972669687200288,0.8887447071053345,1
6	spot	0	103.5	185.74342105263153	38	180	200	30	2	0.8736776077336473,0.972669687200288,0.8887447071053345,1
7	spot	0	103.5	233.09868421052627	38	180	200	30	2	0.8736776077336473,0.972669687200288,0.8887447071053345,1
8	spot	0	103.5	280.453947368421	38	180	200	30	2	0.8736776077336473,0.972669687200288,0.8887447071053345,1
9	spot	0	103.5	327.8092105263157	38	180	200	30	2	0.8736776077336473,0.972669687200288,0.8887447071053345,1
10	spot	0	103.5	375.1644736842104	38	180	200	30	2	0.8736776077336473,0.972669687200288,0.8887447071053345,1
11	spot	0	103.5	383.2894736842104	38	0	200	30	2	0.8736776077336473,0.972669687200288,0.8887447071053345,1
12	spot	0	103.5	332.1842105263157	38	0	200	30	2	0.8736776077336473,0.972669687200288,0.8887447071053345,1
13	spot	0	103.5	281.078947368421	38	0	200	30	2	0.8736776077336473,0.972669687200288,0.8887447071053345,1
14	spot	0	103.5	229.97368421052627	38	0	200	30	2	0.8736776077336473,0.972669687200288,0.8887447071053345,1
15	spot	0	103.5	178.86842105263153	38	0	200	30	2	0.8736776077336473,0.972669687200288,0.8887447071053345,1
16	spot	0	103.5	127.76315789473682	38	0	200	30	2	0.8736776077336473,0.972669687200288,0.8887447071053345,1
17	spot	0	103.5	76.65789473684208	38	0	200	30	2	0.8736776077336473,0.972669687200288,0.8887447071053345,1
18	spot	0	103.5	25.5526315789474	38	0	200	30	2	0.8736776077336473,0.972669687200288,0.8887447071053345,1
