id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	-287.9210526315789	103.5	278.2	0	0	200	90	1.7	0.8256690274204542,0.9640623775125876,0.7530423986442195,1
2	spot	0	103.5	525.9	0	0	200	90	1.7	0.8256690274204542,0.9640623775125876,0.7530423986442195,1
3	spot	249.81052631578945	103.5	281.2	0	0	200	90	1.7	0.8256690274204542,0.9640623775125876,0.7530423986442195,1
3	spot	-220.98289473684207	103.5	559.9421052631579	40	270	200	25	2.0	0.8256690274204542,0.9640623775125876,0.7530423986442195,1
4	spot	-70.32763157894738	103.5	559.9421052631579	40	270	200	25	2.0	0.8256690274204542,0.9640623775125876,0.7530423986442195,1
5	spot	80.32763157894732	103.5	559.9421052631579	40	270	200	25	2.0	0.8256690274204542,0.9640623775125876,0.7530423986442195,1
6	spot	256.31052631578945	103.5	567.7045278947369	40	0	200	25	2.0	0.8256690274204542,0.9640623775125876,0.7530423986442195,1
7	spot	256.31052631578945	103.5	398.49800052631576	40	0	200	25	2.0	0.8256690274204542,0.9640623775125876,0.7530423986442195,1
8	spot	256.31052631578945	103.5	229.2914731578947	40	0	200	25	2.0	0.8256690274204542,0.9640623775125876,0.7530423986442195,1
9	spot	256.31052631578945	103.5	60.08494578947369	40	0	200	25	2.0	0.8256690274204542,0.9640623775125876,0.7530423986442195,1
10	spot	-128.15526315789472	103.5	307.6482315789474	60	180	200	40	3.6	0.8256690274204542,0.9640623775125876,0.7530423986442195,1
