id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	30.0	103.5	36.5	0	0	200	75	1.7	0.9783081495927556,0.9898686785683772,0.9832229641244636,1
2	spot	79.67894736842106	103.5	86.2	0	0	200	75	1.7	0.9783081495927556,0.9898686785683772,0.9832229641244636,1
3	spot	30.0	103.5	135.9	0	0	200	45	1.7	0.9783081495927556,0.9898686785683772,0.9832229641244636,1
3	spot	-62.452631578947376	103.5	154.54736842105262	40	270	200	30	2.0	0.9783081495927556,0.9898686785683772,0.9832229641244636,1
4	spot	5.0	103.5	154.54736842105262	40	270	200	30	2.0	0.9783081495927556,0.9898686785683772,0.9832229641244636,1
5	spot	72.45263157894738	103.5	154.54736842105262	40	270	200	30	2.0	0.9783081495927556,0.9898686785683772,0.9832229641244636,1
6	spot	56.17894736842106	103.5	162.4042105263158	40	0	200	30	2.0	0.9783081495927556,0.9898686785683772,0.9832229641244636,1
7	spot	56.17894736842106	103.5	54.858947368421056	40	0	200	30	2.0	0.9783081495927556,0.9898686785683772,0.9832229641244636,1
8	spot	0	103.5	107.54526315789474	60	180	200	40	3.6	0.9783081495927556,0.9898686785683772,0.9832229641244636,1
