id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	-148.3421052631579	103.5	145.6	0	0	200	90	1.7	0.7248679012294132,0.7036097283011664,0.9861682417550219,1
2	spot	0	103.5	291.9	0	0	200	90	1.7	0.7248679012294132,0.7036097283011664,0.9861682417550219,1
3	spot	113.72105263157894	103.5	164.2	0	0	200	90	1.7	0.7248679012294132,0.7036097283011664,0.9861682417550219,1
4	spot	-98.26315789473684	103.5	316.70526315789476	40	270	200	45	2.0	0.7248679012294132,0.7036097283011664,0.9861682417550219,1
6	spot	-15.652631578947364	103.5	316.70526315789476	40	270	200	45	2.0	0.7248679012294132,0.7036097283011664,0.9861682417550219,1
8	spot	66.95789473684212	103.5	316.70526315789476	40	270	200	45	2.0	0.7248679012294132,0.7036097283011664,0.9861682417550219,1
10	spot	120.22105263157894	103.5	293.5544905263158	40	0	200	45	2.0	0.7248679012294132,0.7036097283011664,0.9861682417550219,1
12	spot	-60.11052631578947	103.5	186.94117894736843	60	180	200	40	3.6	0.7248679012294132,0.7036097283011664,0.9861682417550219,1
