id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	-230.4473684210526	103.5	223.6	0	0	200	90	1.7	0.7342069567035956,0.8479681587644703,0.7887635501576394,1
2	spot	0	103.5	432.3	0	0	200	90	1.7	0.7342069567035956,0.8479681587644703,0.7887635501576394,1
3	spot	193.7736842105263	103.5	234.4	0	0	200	90	1.7	0.7342069567035956,0.8479681587644703,0.7887635501576394,1
3	spot	-199.39473684210526	103.5	462.64736842105265	40	270	200	25	2.0	0.7342069567035956,0.8479681587644703,0.7887635501576394,1
4	spot	-117.63684210526316	103.5	462.64736842105265	40	270	200	25	2.0	0.7342069567035956,0.8479681587644703,0.7887635501576394,1
5	spot	-35.87894736842105	103.5	462.64736842105265	40	270	200	25	2.0	0.7342069567035956,0.8479681587644703,0.7887635501576394,1
6	spot	45.87894736842105	103.5	462.64736842105265	40	270	200	25	2.0	0.7342069567035956,0.8479681587644703,0.7887635501576394,1
7	spot	127.63684210526316	103.5	462.64736842105265	40	270	200	25	2.0	0.7342069567035956,0.8479681587644703,0.7887635501576394,1
8	spot	200.2736842105263	103.5	407.28255473684214	40	0	200	25	2.0	0.7342069567035956,0.8479681587644703,0.7887635501576394,1
9	spot	200.2736842105263	103.5	121.98060315789479	40	0	200	25	2.0	0.7342069567035956,0.8479681587644703,0.7887635501576394,1
10	spot	-100.13684210526316	103.5	259.36541052631577	60	180	200	40	3.6	0.7342069567035956,0.8479681587644703,0.7887635501576394,1
