id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	-58.026315789473685	103.5	59.8	0	0	200	30	1.7	0.7851620937161485,0.9031808750219508,0.9062085709871718,1
2	spot	0	103.5	104.7	0	0	200	45	1.7	0.7851620937161485,0.9031808750219508,0.9062085709871718,1
3	spot	25.66315789473684	103.5	70.6	0	0	200	30	1.7	0.7851620937161485,0.9031808750219508,0.9062085709871718,1
3	spot	-52.87236842105263	103.5	122.11578947368417	40	270	200	25	2.0	0.7851620937161485,0.9031808750219508,0.9062085709871718,1
4	spot	-14.290789473684214	103.5	122.11578947368417	40	270	200	25	2.0	0.7851620937161485,0.9031808750219508,0.9062085709871718,1
5	spot	24.2907894736842	103.5	122.11578947368417	40	270	200	25	2.0	0.7851620937161485,0.9031808750219508,0.9062085709871718,1
6	spot	32.16315789473684	103.5	92.21052631578945	40	0	200	25	2.0	0.7851620937161485,0.9031808750219508,0.9062085709871718,1
7	spot	-16.08157894736842	103.5	90.37553684210525	60	180	200	40	3.6	0.7851620937161485,0.9031808750219508,0.9062085709871718,1
