id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	-115.5	103.5	114.4	0	0	200	90	1.7	0.9502667608909988,0.9150640370267706,0.8750565456965518,1
2	spot	0	103.5	135.9	0	0	200	75	1.7	0.9502667608909988,0.9150640370267706,0.8750565456965518,1
3	spot	81.69999999999999	103.5	86.2	0	0	200	75	1.7	0.9502667608909988,0.9150640370267706,0.8750565456965518,1
3	spot	-83.79999999999998	103.5	154.54736842105262	40	270	200	25	2.0	0.9502667608909988,0.9150640370267706,0.8750565456965518,1
4	spot	5.0	103.5	154.54736842105262	40	270	200	25	2.0	0.9502667608909988,0.9150640370267706,0.8750565456965518,1
5	spot	88.19999999999999	103.5	186.70944000000003	40	0	200	25	2.0	0.9502667608909988,0.9150640370267706,0.8750565456965518,1
6	spot	88.19999999999999	103.5	108.63157894736844	40	0	200	25	2.0	0.9502667608909988,0.9150640370267706,0.8750565456965518,1
7	spot	88.19999999999999	103.5	30.55371789473685	40	0	200	25	2.0	0.9502667608909988,0.9150640370267706,0.8750565456965518,1
8	spot	-44.099999999999994	103.5	106.46981052631578	60	180	200	40	3.6	0.9502667608909988,0.9150640370267706,0.8750565456965518,1
