ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/848022/title_panel.png	-61.31579,28.656,30	0,0,1	0,1,0	-1,0,0	0	-2.443498	0.2	1.4	none(caption)	4:3	22
1	./Images/848022/word_cloud.png	-84.1579,38,83.16	0,0,1	0,1,0	-1,0,0	58.212	5	0.2	2.5	Wooden_thin2	-1:-1	23
1	./Images/848022/Fansipan peak uplink.jpg	-84.1579,38,82.3284	0,0,1	0,1,0	-1,0,0	0	5	0.2	5.6	Wooden_thin2	-1:-1	23
1	./Images/848022/caption/caption0.png	-84.1579,38,82.3284	0,0,1	0,1,0	-1,0,0	35	-2	1	0.8	Wooden_thin2	-1:-1	23
3	./Images/848022/Cable car station going Fansipan.jpg	0,38,165.9	1,0,0	0,1,0	0,0,1	-29.57895	-10	0.2	1.938462	Wooden_thin	-1:-1	3
4	./Images/848022/caption/caption1.png	0,38,165.9	1,0,0	0,1,0	0,0,1	-16.11741	-20	1.5	0.7	none(caption)	-1:-1	4
5	./Images/848022/Kim Son Bao Thang Pagoda.jpg	84.1579,38,84	0,0,-1	0,1,0	1,0,0	60.37416	-10	0.2	4.5	Wooden_thin	-1:-1	5
6	./Images/848022/caption/caption2.png	84.1579,38,84	0,0,-1	0,1,0	1,0,0	82.37416	-20	1.5	0.7	none(caption)	-1:-1	6
7	./Images/848022/Fansipan 1280x458.jpg	84.1579,38,84	0,0,-1	0,1,0	1,0,0	0	-10	0.2	4.5	Wooden_thin	-1:-1	7
8	./Images/848022/caption/caption3.png	84.1579,38,84	0,0,-1	0,1,0	1,0,0	22	-20	1.5	0.7	none(caption)	-1:-1	8
9	./Images/848022/Fan Si Pan-path to.jpg	84.1579,38,84	0,0,-1	0,1,0	1,0,0	-60.37416	-10	0.2	4.5	Wooden_thin	-1:-1	9
10	./Images/848022/caption/caption4.png	84.1579,38,84	0,0,-1	0,1,0	1,0,0	-38.37416	-20	1.5	0.7	none(caption)	-1:-1	10
