id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	-263.2894736842105	103.5	254.8	0	0	200	90	1.7	0.8665718212527225,0.8246417539949806,0.8149531910167841,1
2	spot	0	103.5	463.5	0	0	200	90	1.7	0.8665718212527225,0.8246417539949806,0.8149531910167841,1
3	spot	225.79473684210524	103.5	250.0	0	0	200	90	1.7	0.8665718212527225,0.8246417539949806,0.8149531910167841,1
3	spot	-179.86315789473684	103.5	495.07894736842104	40	270	200	25	2.0	0.8665718212527225,0.8246417539949806,0.8149531910167841,1
4	spot	5.0	103.5	495.07894736842104	40	270	200	25	2.0	0.8665718212527225,0.8246417539949806,0.8149531910167841,1
5	spot	232.29473684210524	103.5	508.3068710526315	40	0	200	25	2.0	0.8665718212527225,0.8246417539949806,0.8149531910167841,1
6	spot	232.29473684210524	103.5	356.80404473684206	40	0	200	25	2.0	0.8665718212527225,0.8246417539949806,0.8149531910167841,1
7	spot	232.29473684210524	103.5	205.30121842105262	40	0	200	25	2.0	0.8665718212527225,0.8246417539949806,0.8149531910167841,1
8	spot	232.29473684210524	103.5	53.79839210526319	40	0	200	25	2.0	0.8665718212527225,0.8246417539949806,0.8149531910167841,1
9	spot	-116.14736842105262	103.5	275.45968421052623	60	180	200	40	3.6	0.8665718212527225,0.8246417539949806,0.8149531910167841,1
